dataset,rung,class,arch,seed,realization,q_src,F_src_at_q,F_tgt_at_q,signed_displacement_at_q,calibration_slack,undercoverage,KS_two_sided,KS_location,one_sided_up,one_sided_down,tail_mass_above_q_target,quantile_displacement,frac_of_KS_realised_at_q,n_src,n_tgt
ciciot2023,0.8,DDoS,xgb,88,0,0.5,0.9996933232081313,0.9999229049417933,-0.00022958173366194323,-0.04969332320813136,-0.0499229049417933,0.0002628658216017321,0.8764915019273758,6.33144122512393e-05,0.0002628658216017321,7.709505820674423e-05,0.0,0.8733799330130579,68476,25942
ciciot2023,0.8,DoS,xgb,88,0,0.5,0.9990481856038073,0.9993844891259746,-0.00033630352216729165,-0.049048185603807304,-0.049384489125974596,0.0004759071980964258,0.7755101770162582,0.0003363035221673013,0.0004759071980964258,0.0006155108740254489,0.0,0.7066577759539405,25215,9748
ciciot2023,0.8,Mirai,xgb,88,0,0.5,0.9997889516171582,0.9998602961721151,-7.134455495694247e-05,-0.04978895161715824,-0.04986029617211518,0.00031657257426264974,0.49384912848472595,0.00031657257426264974,0.0001582862871313262,0.0001397038278848628,0.0,0.22536555834982178,18953,7158
ciciot2023,0.8,Recon,xgb,88,0,0.5694112479686737,0.9500759054435046,0.9524527426649658,-0.0023768372214612032,-7.590544350466466e-05,-0.002452742664965868,0.005462651732606183,0.4999353289604187,0.003908492146746212,0.005462651732606183,0.047547257335034177,-0.037206085026264324,0.435106856121548,23055,8623
ciciot2023,0.8,Spoofing,xgb,88,0,0.8015477508306503,0.9501391650099403,0.9509844993715961,-0.0008453343616557918,-0.0001391650099403785,-0.0009844993715961703,0.01181644111035507,0.47015732526779175,0.004369709684915235,0.01181644111035507,0.049015500628403874,-0.002902278304100614,0.07153882914162728,12575,4774
ciciot2023,0.8,Web,xgb,88,0,0.9507976919412613,0.9508196721311475,0.9321824907521579,0.01863718137898962,-0.0008196721311475308,0.01781750924784209,0.10108490688628552,0.4910725951194763,0.03314842461817458,0.10108490688628552,0.06781750924784213,0.021411062218248844,0.18437155410308026,2135,811
ciciot2023,0.8,Benign,xgb,88,1,0.901826448738575,0.950309572948087,0.9536807278742763,-0.0033711549261892237,-0.000309572948087089,-0.0036807278742763128,0.016452780260655553,0.4864066243171692,0.016452780260655553,0.009230461962334346,0.04631927212572373,-0.014130437187850453,0.20489879964244426,6299,2418
ciciot2023,0.8,BruteForce,xgb,88,1,0.9857766218483448,0.9511305616338439,0.9627329192546584,-0.011602357620814518,-0.0011305616338439517,-0.01273291925465847,0.03342983088012108,0.7719200253486633,0.013274075684883424,0.03342983088012108,0.037267080745341574,-0.007682625390589282,0.3470659981027249,1371,483
ciciot2023,0.8,DDoS,xgb,88,1,0.5,0.9996933232081313,0.9996912389038981,2.08430423320749e-06,-0.04969332320813136,-0.04969123890389815,0.0001825440185552451,0.275473028421402,9.075008777414961e-05,0.0001825440185552451,0.00030876109610189495,0.0,0.011418091097718968,68476,25910
ciciot2023,0.8,DoS,xgb,88,1,0.5,0.9990481856038073,0.9994778067885117,-0.0004296211847044651,-0.049048185603807304,-0.04947780678851177,0.0005790618436019424,0.42197930812835693,0.0001731738899252331,0.0005790618436019424,0.0005221932114882755,0.0,0.7419262544257612,25215,9575
